Spieler,Position,Alter,Marktwert_Mio,Verein,Nationalität,Tore,Vorlagen,Spiele,Minuten
Leon Kramer,Sturm,23,18.5,FC Bayern München,Deutschland,14,6,28,2340
Maximilian Berger,Sturm,26,22.0,Borussia Dortmund,Deutschland,18,4,30,2610
Tiago Ferreira,Mittelfeld,21,12.0,RB Leipzig,Brasilien,6,11,27,2295
Niklas Hoffmann,Abwehr,25,15.0,Bayer Leverkusen,Deutschland,2,3,29,2610
Artem Kowalenko,Sturm,24,9.5,VfB Stuttgart,Ukraine,11,5,26,2080
Luca Esposito,Mittelfeld,22,14.0,Eintracht Frankfurt,Italien,8,9,28,2380
Jannik Weiß,Torwart,28,8.0,SC Freiburg,Deutschland,0,0,30,2700
Sven Lindqvist,Abwehr,20,6.5,VfL Wolfsburg,Schweden,1,4,24,1920
Karim Benzali,Mittelfeld,27,11.0,1. FC Union Berlin,Frankreich,5,7,25,2125
Dominik Schuster,Sturm,29,7.0,1. FSV Mainz 05,Deutschland,9,3,27,2160
Rui Delgado,Mittelfeld,23,16.0,FC Bayern München,Portugal,7,12,29,2465
Pavel Novotny,Abwehr,24,10.0,Borussia Dortmund,Tschechien,3,2,28,2520
Florian Engel,Sturm,21,8.5,RB Leipzig,Österreich,10,4,25,2000
Matteo Ricci,Mittelfeld,26,13.5,Bayer Leverkusen,Italien,4,8,30,2550
Jonas Becker,Torwart,24,5.0,VfB Stuttgart,Deutschland,0,0,26,2340
Henrik Andersen,Abwehr,22,7.5,Eintracht Frankfurt,Dänemark,2,5,27,2295
Yusuf Öztürk,Sturm,25,11.5,TSG Hoffenheim,Türkei,12,3,28,2240
Samuel Koffi,Mittelfeld,20,5.5,FC Augsburg,Ghana,3,6,22,1760
Elias Moser,Abwehr,27,9.0,1. FC Köln,Schweiz,1,2,29,2610
Marco Volpi,Sturm,23,10.0,Werder Bremen,Italien,8,7,26,2080
